STOP_NAME,MAP_ID,Location X,Location Y
Diversey (Kimball-Linden-bound),40530,41.932732,-87.653131
Diversey (Loop-bound),40530,41.932732,-87.653131
Division (Forest Pk-bound),40320,41.903355,-87.666496
Division (O'Hare-bound),40320,41.903355,-87.666496
Forest Park (O'Hare-bound),40390,41.874257,-87.817318
Forest Park (Terminal Arrival),40390,41.874257,-87.817318
Foster (Howard-Loop-bound),40520,42.05416,-87.68356
Foster (Linden-bound),40520,42.05416,-87.68356
Francisco (Kimball-bound),40870,41.966046,-87.701644
Francisco (Loop-bound),40870,41.966046,-87.701644
Fullerton (95th-bound),41220,41.925051,-87.652866
Fullerton (Howard-bound),41220,41.925051,-87.652866
Fullerton (Kimball-Linden-bound),41220,41.925051,-87.652866
Fullerton (Loop-bound),41220,41.925051,-87.652866
Garfield (63rd-bound),40510,41.795172,-87.618327
Garfield (Harlem-bound),40510,41.795172,-87.618327
Garfield (95th-bound),41170,41.79542,-87.631157
Garfield (Howard-bound),41170,41.79542,-87.631157
Grand/Milwaukee (Forest Pk-bound),40490,41.891189,-87.647578
Grand/Milwaukee (O'Hare-bound),40490,41.891189,-87.647578
Grand/State (95th-bound),40330,41.891665,-87.628021
Grand/State (Howard-bound),40330,41.891665,-87.628021
Granville (95th-bound),40760,41.993664,-87.659202
Granville (Howard-bound),40760,41.993664,-87.659202
Halsted (Loop-bound),41130,41.84678,-87.648088
Halsted (Midway-bound),41130,41.84678,-87.648088
Halsted/63rd (Ashland-bound),40940,41.778943,-87.644244
Halsted/63rd (Harlem-bound),40940,41.778943,-87.644244
Harlem (O'Hare Branch) (Forest Pk-bound),40750,41.98227,-87.8089
Harlem (O'Hare Branch) (O'Hare-bound),40750,41.98227,-87.8089
Harlem (Forest Pk Branch) (O'Hare-bound),40980,41.87349,-87.806961
Harlem (Forest Pk Branch) (Terminal arrival),40980,41.87349,-87.806961
Harlem (Terminal arrival),40020,41.886848,-87.803176
Harlem (63rd-bound),40020,41.886848,-87.803176
H.W. Library (Inner Loop),40850,41.876862,-87.628196
H.W. Library (Outer Loop),40850,41.876862,-87.628196
Harrison (95th-bound),41490,41.874039,-87.627479
Harrison (Howard-bound),41490,41.874039,-87.627479
Howard (Terminal arrival),40900,42.019063,-87.672892
Howard (Terminal arrival),40900,42.019063,-87.672892
Howard (95th-Bound),40900,42.019063,-87.672892
"Howard (Linden, Skokie-bound)",40900,42.019063,-87.672892
Illinois Medical District (Forest Pk-bound),40810,41.875706,-87.673932
Illinois Medical District (O'Hare-bound),40810,41.875706,-87.673932
Indiana (63rd-bound),40300,41.821732,-87.621371
Indiana (Harlem-bound),40300,41.821732,-87.621371
Irving Park (O'Hare Branch) (Forest Pk-bound),40550,41.952925,-87.729229
Irving Park (O'Hare Branch) (O'Hare-bound),40550,41.952925,-87.729229
Irving Park (Kimball-bound),41460,41.954521,-87.674868
Irving Park (Loop-bound),41460,41.954521,-87.674868
Jackson/Dearborn (Forest Pk-bound),40070,41.878183,-87.629296
Jackson/Dearborn (O'Hare-bound),40070,41.878183,-87.629296
Jackson/State (95th-bound),40560,41.878153,-87.627596
Jackson/State (Howard-bound),40560,41.878153,-87.627596
Jarvis (95th-bound),41190,42.015876,-87.669092
Jarvis (Howard-bound),41190,42.015876,-87.669092
Jefferson Park (Forest Pk-bound),41280,41.970634,-87.760892
Jefferson Park (O'Hare-bound),41280,41.970634,-87.760892
Kedzie (Loop-bound),41150,41.804236,-87.704406
Kedzie (Midway-bound),41150,41.804236,-87.704406
Kedzie (54th/Cermak-bound),41040,41.853964,-87.705408
Kedzie (Loop-bound),41040,41.853964,-87.705408
Kedzie (Kimball-bound),41180,41.965996,-87.708821
Kedzie (Loop-bound),41180,41.965996,-87.708821
Kedzie (63rd-bound),41070,41.884321,-87.706155
Kedzie (Harlem-bound),41070,41.884321,-87.706155
Kedzie-Homan (Forest Pk-bound),40250,41.874341,-87.70604
Kedzie-Homan (O'Hare-bound),40250,41.874341,-87.70604
Kimball (Loop-bound),41290,41.967901,-87.713065
