STOP_ID,STOP_NAME,STATION_NAME,Location X,Location Y
30221,Clinton (Loop-63rd-bound),Clinton,41.885678,-87.641782
30291,Conservatory (63rd-bound),Conservatory,41.884904,-87.716523
30292,Conservatory (Harlem-bound),Conservatory,41.884904,-87.716523
30139,Cottage Grove (Terminal arrival),Cottage Grove,41.780309,-87.605857
30140,Cottage Grove (Harlem-bound),Cottage Grove,41.780309,-87.605857
30045,Cumberland (Forest Pk-bound),Cumberland,41.984246,-87.838028
30044,Cumberland (O'Hare-bound),Cumberland,41.984246,-87.838028
30041,Damen (54th/Cermak-bound),Damen,41.854517,-87.675975
30040,Damen (Loop-bound),Damen,41.854517,-87.675975
30116,Damen/Milwaukee (Forest Pk-bound),Damen,41.909744,-87.677437
30115,Damen/Milwaukee (O'Hare-bound),Damen,41.909744,-87.677437
30018,Damen (Kimball-bound),Damen,41.966286,-87.678639
30019,Damen (Loop-bound),Damen,41.966286,-87.678639
30011,Davis (Howard-Loop-bound),Davis,42.04771,-87.683543
30010,Davis (Linden-bound),Davis,42.04771,-87.683543
30134,Dempster (Howard-Loop-bound),Dempster,42.041655,-87.681602
30133,Dempster (Linden-bound),Dempster,42.041655,-87.681602
30027,Dempster-Skokie (Howard-bound),Dempster-Skokie,42.038951,-87.751919
30026,Dempster-Skokie (Arrival),Dempster-Skokie,42.038951,-87.751919
30103,Diversey (Kimball-Linden-bound),Diversey,41.932732,-87.653131
30104,Diversey (Loop-bound),Diversey,41.932732,-87.653131
30063,Division (Forest Pk-bound),Division,41.903355,-87.666496
30062,Division (O'Hare-bound),Division,41.903355,-87.666496
30076,Forest Park (O'Hare-bound),Forest Park,41.874257,-87.817318
30077,Forest Park (Terminal Arrival),Forest Park,41.874257,-87.817318
30102,Foster (Howard-Loop-bound),Foster,42.05416,-87.68356
30101,Foster (Linden-bound),Foster,42.05416,-87.68356
30167,Francisco (Kimball-bound),Francisco,41.966046,-87.701644
30168,Francisco (Loop-bound),Francisco,41.966046,-87.701644
30234,Fullerton (95th-bound),Fullerton,41.925051,-87.652866
30233,Fullerton (Howard-bound),Fullerton,41.925051,-87.652866
30235,Fullerton (Kimball-Linden-bound),Fullerton,41.925051,-87.652866
30236,Fullerton (Loop-bound),Fullerton,41.925051,-87.652866
